"huc12","CDL_name","areasqkm","pixel.coverage","percent.coverage"
"070102050603","Grass/Pasture",86.33,2374.36066969391,2.47529781388222
"070200010101","Grass/Pasture",67.2,24338.2822993222,32.5959137937351
"070200010105","Grass/Pasture",86.27,29948.6649276528,31.2435359161789
"070200010403","Grass/Pasture",72.3,2754.39993029632,3.42871360617799
"070200010501","Grass/Pasture",68.2,30626.5310453148,40.4162433149316
"070200010503","Grass/Pasture",78.02,25921.6247671105,29.901899885157
"070200010602","Grass/Pasture",65.81,27174.8511787121,37.1636013688511
"070200010603","Grass/Pasture",81.46,5864.9173815483,6.47977613969245
"070200010702","Grass/Pasture",83.98,33083.801494329,35.4553719277162
"070200010704","Grass/Pasture",79.1,2681.15513705525,3.0506189928568
"070200010902","Grass/Pasture",92.77,44135.9425312105,42.8180966671224
"070200010903","Grass/Pasture",72.13,24369.0195426748,30.4063740307879
"070200010905","Grass/Pasture",72.7,9267.07525104223,11.4723077385667
"070200010906","Grass/Pasture",85.35,2754.06120712869,2.90410672104959
"070200020403","Grass/Pasture",91.44,535.320041260915,0.526889804390664
"070200030202","Grass/Pasture",83.53,20392.4410626576,21.9719824690433
"070200030203","Grass/Pasture",93.83,22624.4801663333,21.7009827877011
"070200030304","Grass/Pasture",90.25,20275.9556008721,20.2197895188752
"070200040102","Grass/Pasture",89.46,1209.04783995231,1.21634591544498
"070200040205","Grass/Pasture",87.29,1883.29765002523,1.94176639365644
"070200040304","Grass/Pasture",67.53,7729.10891994283,10.3009003819762
"070200040305","Grass/Pasture",91.1,9591.37705000117,9.47556459385406
"070200040402","Grass/Pasture",72.59,12114.3251081496,15.0198272452606
"070200040404","Grass/Pasture",92.07,17938.8742423625,17.5355564441471
"070200040504","Grass/Pasture",66.76,608.107015902176,0.819796756009524
"070200040601","Grass/Pasture",75.92,3281.68175050848,3.89029712257328
"070200040802","Grass/Pasture",81.85,886.379393951502,0.974638307338243
"070200041002","Grass/Pasture",89.07,689.639695451217,0.696840379371388
"070200041006","Grass/Pasture",94.4,2347.66544664635,2.23824036226877
"070200041106","Grass/Pasture",64.13,1649.59676924546,2.31504302560567
"070200041206","Grass/Pasture",64.01,1984.76276752481,2.79063660486225
"070200051001","Grass/Pasture",73.99,664.361400496215,0.808116313618859
"070200051002","Grass/Pasture",64.88,540.043237651378,0.749135194029347
"070200060203","Grass/Pasture",70.72,6660.09788210873,8.47580330019493
"070200060702","Grass/Pasture",74.48,1989.26454129283,2.40378368308747
"070200070401","Grass/Pasture",87.3,1517.67125181417,1.56460953795275
"070200071103","Grass/Pasture",94.07,952.386108746599,0.91118050161788
"070200071105","Grass/Pasture",69.71,1392.79778678273,1.79818965443187
"070200071106","Grass/Pasture",86.35,5023.29087504792,5.23562453681891
"070200080201","Grass/Pasture",70.3,6135.68574922933,7.85507421665206
"070200080301","Grass/Pasture",74.76,3508.04158086469,4.22316402190773
"070200080403","Grass/Pasture",72.36,2722.34606488235,3.38600256826163
"070200080504","Grass/Pasture",90.27,6591.63232487172,6.57191657514628
"070200080505","Grass/Pasture",72.81,2088.69460708021,2.58182275288036
"070200080707","Grass/Pasture",94.23,1159.94399131864,1.10787391720978
"070200090604","Grass/Pasture",77.19,1859.43251977935,2.16801304288304
"070200090907","Grass/Pasture",84.66,1115.18478760868,1.18552599674913
"070200100303","Grass/Pasture",90.46,399.688839637209,0.397656373727048
"070200100403","Grass/Pasture",80.6,1104.00161210098,1.23275614254452
"070200100406","Grass/Pasture",82.66,775.507210815907,0.844370299702778
"070200100603","Grass/Pasture",74.46,210.597219275311,0.25454941894679
"070200110301","Grass/Pasture",80.98,2073.66136294765,2.3046372272819
"070200110304","Grass/Pasture",84.89,2005.96058149589,2.12671047631794
"070200110604","Grass/Pasture",90.54,2285.51409894972,2.2718828021369
"070200120403","Grass/Pasture",84.04,2585.29431386534,2.76863979352547
"070200120501","Grass/Pasture",88.15,1159.48446069798,1.18381850780282
"070200120603","Grass/Pasture",84.41,1636.83110610931,1.74522923290887
"070200120608","Grass/Pasture",72.05,1274.25865548593,1.5917179596632
"070200120609","Grass/Pasture",79.1,2217.58935013336,2.52317372328701
"070200120704","Grass/Pasture",77.74,6434.43876031815,7.44918302583784
"070200120801","Grass/Pasture",91.63,15859.137691165,15.5770205413604
"070300010401","Grass/Pasture",65.25,7386.20355554865,10.1878669731706
"070400010205","Grass/Pasture",84.19,13934.5819613477,14.8962154236999
"070400010208","Grass/Pasture",68.06,7221.76746171004,9.54979535048345
"070400010504","Grass/Pasture",67.25,12940.8459954769,17.3186043062144
"070400010506","Grass/Pasture",65.22,7640.72051880436,10.5437725650474
"070400010507","Grass/Pasture",78.34,8785.01042953281,10.0925572971401
"070400010601","Grass/Pasture",86.46,11534.9849984193,12.007270990721
"070400010703","Grass/Pasture",64.83,7758.6669779649,10.7709398120753
"070400020105","Grass/Pasture",92.83,9501.11803153397,9.21146852136225
"070400020301","Grass/Pasture",78.39,11832.3887911354,13.58483213678
